COMPLEX_NAME,FACILITY_TYPE,TIER,ADDRESS,ORG,TYP_OF_ORG,STEWARD,OPER,LABEL,WEBSITE,PHONE,NOTES,GYM,GYMNAST_FAC,FITNSS_WGHT,FIT_STUDIO,MULTI_PURP_ROOMS,MEET_ROOMS,INDR_POOL,OUTDR_POOL,FW_25M,FW_50M,FW_18M,LANES_POOL,TEACH_POOL,WAVE_POOL,OTHER_POOL,INDR_WAD_POOL,DIVING_TANK,SPRINGBOARD,PLATFORM,DIVE_SLIDE,PLAY_SLIDE,ROPE_SWING,STEAM,HOT_TUB,SAUNA,CLIMB_WALL,TRACK_INDR,OUTDR_WAD_POOL,SPRAY_PARK,ICE_INDR,STAND_ICE,NHL_ICE,OLYMP_ICE,FIG_SKATING,CURL_RNK,CURL_SHEETS,INDR_SURFACE,INDR_TURF,DRY_PAD,RACQFAC_INDR,SQUASH_CRTS,RAQBALL_CRTS,BADMINT_CRTS,TENNIS_CRT,OUTDR_FIELD,ARTF_TURF_OUTDR,DIAM_FAC_OUTDR,TRACK_OUTDR,PUBLIC_GLF,SEMI_PRIV_GLF,HOLE_18,HOLE_9,DRIVERANG_OUTDR,DRIVERANG_INDR,SKI_NORDICTRCK,MUNICPAL_OP,NOTPROFIT_OP,PROFIT_OP,PRIVATE_OP
Frank McCool Athletic Park,Athletic Park,,1900 LAKE BONAVISTA DR SE,Recreation,Municipal,Recreation,Recreation,Frank McCool Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Frank-McCool-Athletic-Park.aspx,311,"2 soccer fields, athletic field",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Valley Ridge Golf Course,Golf Course - Semi-Private,,11618 VALLEY RIDGE PA NW,Private,Profit,Valley Ridge Golf Course,Valley Ridge Golf Course,Valley Ridge Golf Course,https://www.valleyridgegolf.com/,403-288-9457,"18 hole, driving range",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y
Mid-Sun Skatepark,Skate Park,,50 MIDPARK RI SE,Parks,Municipal,Parks,Parks,Mid-Sun Skatepark,https://www.calgary.ca/csps/recreation/skateparks.html,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Stew Hendry and Henry Viney Arenas,Arena,,810 13 AV NE,Recreation,Municipal,Recreation,Recreation,Henry Viney Arena,https://www.calgary.ca/csps/recreation/arenas/Henry-Viney-Arena.html,311,185'x85' ice rink (150 seat cap) meeting room,0,N,N,0,0,1,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Murray Copot Arena,Arena,,6715 CENTRE ST NW,Recreation,Municipal,Recreation,Recreation,Murray Copot Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Murray-Copot.aspx,311,185'x85' ice rink (300 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Stanley Park Outdoor Pool & Wading Pool,Outdoor Pool,,4011 1A ST SW,COSPA,Not-for-Profit,Parks,COSPA,Stanley Park Outdoor Pool & Wading Pool,,403-221-3577,"25m pool (8 lane), wading pool, spray park",0,N,N,0,0,0,N,Y,1,0,0,8,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,Y,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Jack Setters Arena,Arena,,2020 69 AV SE,CA,Not-for-Profit,Recreation,Millican Ogden CA,Jack Setters Arena,,403-236-3727,Ice rink,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,Y,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Glenmore Athletic Park,Athletic Park,,5300 19 ST SW,Recreation,Municipal,Water Resources,Recreation,Glenmore Athletic Park,https://www.calgary.ca/csps/recreation/pages/athletic-parks/glenmore-athletic-park.aspx,311,"5 soccer fields, 2 softball diamonds, 1 soccer/football field, touch football field, 4 flag football or a soccer field, baseball diamond, track, velodrome, shot put",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,Y,Y,N,N,N,N,N,N,N,Y,N,N,N
Canyon Meadows Aquatic & Fitness Centre,Aquatic & Fitness Centre,2,89 CANOVA RD SW,Recreation,Municipal,Recreation,Recreation,Canyon Meadows Aquatic & Fitness Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Pools/Canyon-Meadows.aspx,311,"25m pool (6 lane), 1m dive tank & 1.5m slide, hot tub, steam room, fitness/weights, studio",0,N,Y,1,0,0,Y,N,1,0,0,6,N,N,N,N,Y,N,N,1,0,N,Y,Y,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Tom Brook Athletic Park,Athletic Park,,2000 SOUTHLAND DR SW,Recreation,Municipal,Recreation,Recreation,Tom Brook Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Tom-Brook-Athletic-Park.aspx,311,"Soccer field, softball diamond",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,Y,N,N,N,N,N,N,N,N,Y,N,N,N
Ed Whalen and Joseph Kryczka Arenas,Arena,,2000 SOUTHLAND DR SW,Recreation,Municipal,Recreation,Recreation,Joseph Kryczka Arena,https://www.calgary.ca/csps/recreation/leisure-centres/southland/arenas-southland-leisure-centre.html,311,189'x85' ice rink (65 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Renfrew Athletic Park,Athletic Park,,810 13 AV NE,Recreation,Municipal,Recreation,Recreation,Renfrew Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Renfrew-Athletic-Park.aspx,311,"2 soccer fields, fenced softball diamond, enclosed lit softball diamond",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,Y,N,N,N,N,N,N,N,N,Y,N,N,N
Highwood Outdoor & Wading Pool,Outdoor Pool,,20 HARLOW AV NW,COSPA,Not-for-Profit,Recreation,COSPA,Highwood Outdoor & Wading Pool,https://highwoodoutdoorpool.com/,403-221-3574,"25m pool (6 lane), wading pool",0,N,N,0,0,0,N,Y,1,0,0,6,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,Y,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Acadia Aquatic & Fitness Centre,Aquatic & Fitness Centre,1,9009 FAIRMOUNT DR SE,Recreation,Municipal,Recreation,Recreation,Acadia Aquatic & Fitness Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Pools/Acadia.aspx,311,"25m pool (6 lane), 2-2m slides, rope swing, fitness/weight, multi-purpose room",0,N,Y,0,1,0,Y,N,1,0,0,6,N,N,N,N,N,N,N,0,1,Y,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Bob Bahan Aquatic & Fitness Centre,Aquatic & Fitness Centre,2,4812 14 AV SE,Recreation,Municipal,Recreation,Recreation,Bob Bahan Aquatic & Fitness Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Pools/Bob-Bahan.aspx,311,"25m pool (6 lane), 1.5m slide & 1m dive tank, hot tub, steam room, fitness/weights, studio",0,N,Y,1,0,0,Y,N,1,0,0,6,N,N,N,N,Y,Y,N,1,0,N,Y,Y,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Confederation Park Golf Course,Golf Course - Municipal,,3204 COLLINGWOOD DR NW,Recreation,Municipal,Recreation,Recreation,Confederation Park Golf Course,https://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Confederation-Park.aspx,403-300-1002,"9 hole, driving range",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,N,Y,Y,N,Y,Y,N,N,N
MNP Community & Sport Centre,Leisure Centre,,2225 MACLEOD TR SE,Civic Partner,Not-for-Profit,Recreation,Lindsay Park Sports Society,MNP Community & Sport Centre,https://mnpcentre.com/,403-233-8393,"2 - 50m pools, teach pool, dive tank, 5 gyms, track, fitness/weights, 2 fitness studios, racquetball, badminton, hot tub, stream room",5,N,Y,5,0,0,Y,N,0,2,0,8,Y,N,N,N,Y,Y,Y,0,0,N,Y,Y,N,N,Y,N,N,N,0,0,0,N,N,0,N,0,0,Y,0,0,10,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Bowness Park Lagoon,Outdoor Skating Rink,,8900 48 AV NW,Parks,Municipal,Parks,Parks,Bowness Park Lagoon,https://www.calgary.ca/CSPS/Parks/Pages/Locations/NW-parks/Bowness-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
Valleyview Spray Park,Spray Park,,28 ST SE & 30 AV SE,Parks,Municipal,Parks,Parks,Valleyview Spray Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/SE-parks/Valleyview-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Oakridge CA,Arena,,9504 OAKFIELD DR SW,CA,Not-for-Profit,Parks,Oakridge CA,Oakridge CA,https://www.oakridgecommunity.ca/,403-238-0007,"Ice rink, squash, hall",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,Y,1,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N
Village Square and Wally Kozak Arenas,Arena,,2623 56 ST NE,Recreation,Municipal,Recreation,Recreation,Village Square #1 Arena,https://www.calgary.ca/csps/recreation/leisure-centres/village-square/arenas-village-square-leisure-centre.html,311,"185'x85' ice rink, 2 meeting rooms",0,N,N,0,0,2,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N
"Forest Lawn Outdoor Pool, Wading Pool & Spray Park",Outdoor Pool,,1706 39 ST SE,COSPA,Not-for-Profit,Recreation,COSPA,"Forest Lawn Outdoor Pool, Wading Pool & Spray Park",,403-221-3595,"25m pool (8 lane), wading pool, spray park",0,N,N,0,0,0,N,Y,1,0,0,8,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,Y,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N
Remington YMCA in Quarry Park,Leisure Centre,,108 QUARRY PARK RD SE,YMCA,Not-for-Profit,Recreation,Remington YMCA,Remington YMCA in Quarry Park,https://www.ymcacalgary.org/program-descriptions/locations/quarry-park/,403-351-6678,"25m pool (6 lane), small leisure pool, fitness centre, fitness studios, indoor track, gym, large/small multi-purpose rooms",1,N,Y,1,2,0,Y,N,1,0,0,6,N,N,N,N,N,N,N,0,0,N,Y,Y,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,N,N,N
